Source,Target,n,Weight
trendtown,faznet,1,1
trilmm,ankehassel,1,1
trilmm,glasersound,1,1
trilmm,mariamlau1,1,1
trilmm,mlewandowsky,1,1
trilmm,pbahners,1,1
trilmm,spdde,1,1
tschipanski,cdu,2,2
tschipanski,mikemohring,1,1
tuckerevil1,zdfheute,1,1
tujus,junge,1,1
twittonium,bvolksentscheid,1,1
twittonium,jaquearnoux,1,1
twleser,cduberlin,1,1
twleser,rbb24,1,1
twleser,watch,1,1
ultrakapitalist,beatrix,1,1
ultrakapitalist,bundesm59769862,1,1
ultrakapitalist,spiegel,1,1
ultrakapitalist,spiegelonline,1,1
umbilicussuevia,drdavidberger,1,1
ursulas4711,c,1,1
ursulas4711,die,1,1
ursulas4711,fdp,1,1
ursulas4711,goeringeckardt,1,1
ursulas4711,santosherrmann,1,1
ursulas4711,sarfeld,1,1
ursulas4711,sz,1,1
usrgreg,ulfposh,1,1
usrgreg,welt,1,1
uwefiedler3,diestimme2,1,1
uweschuchmann,stolenprivacy,1,1
vertig0nix,ritter,1,1
vertig0nix,schwulemiker,1,1
vilstal,vilstal,2,2
vollhorst_1,afd,1,1
vollhorst_1,cdu,1,1
vollhorst_1,csu,1,1
vollhorst_1,fdp,1,1
vollhorst_1,spdde,1,1
von_der_seite,einzelfallinfos,1,1
von_der_seite,ntvde,1,1
von_der_seite,thomasgbauer,1,1
von_der_seite,welt,1,1
vonkunerow,brunofranzr,1,1
vonkunerow,heutejournal,1,1
vonkunerow,j,1,1
vonkunerow,junge,1,1
vonkunerow,krippmarie,1,1
vonkunerow,larsklingbeil,1,1
vonkunerow,peteraltmaier,1,1
vonkunerow,udohemmelgarn,1,1
vonkunerow,woli2017,1,1
wallraff_mirko,steinbacherika,1,1
walter29340877,emrich,1,1
walter29340877,kpropcroy,1,1
walter29340877,krippmarie,1,1
walter29340877,ralf,1,1
walter29340877,walsberger49,1,1
wasserelch,dielinke,1,1
waszumelden,businessnews201,1,1
waszumelden,deutsch365,1,1
waszumelden,fr,1,1
waszumelden,jouwatch,1,1
waszumelden,kdshpger,1,1
waszumelden,lelebumm,1,1
waszumelden,publizistikon,1,1
watch_union,arminlaschet,1,1
watch_union,dlf,1,1
watch_union,franksteffel,1,1
watch_union,j,1,1
watch_union,jenskatzek,1,1
watch_union,jkasek,1,1
watch_union,jusosleipzig,1,1
watch_union,khaas2306,1,1
watch_union,mannheimgirls,1,1
watch_union,marianorajoy,1,1
watch_union,philipp,4,4
watch_union,polizeipdnord,1,1
watch_union,Sep-77,1,1
watch_union,smisachsen,1,1
weltundzeit,regsprecher,1,1
wendolinw,jungnaiv,1,1
wendolinw,tilojung,1,1
wernst32,cdu,1,1
wernst32,georgdrache,1,1
wernst32,ralf,1,1
wernst32,soerenbartol,1,1
wernst32,spdbt,1,1
wespe03,5y5t3m,1,1
wespe03,dielinke,1,1
wespe03,houelle,1,1
wespe03,lgrenouillevert,1,1
westfale1815,afd,1,1
westfale1815,annewill,1,1
westfale1815,annewilltalk,1,1
westfale1815,c,1,1
westfale1815,cdu,1,1
westfale1815,dirkrcke,1,1
westfale1815,duhugonotte,1,1
westfale1815,hartaberfair,1,1
westfale1815,joerg,1,1
westfale1815,maischberger,1,1
westfale1815,ntvde,1,1
westfale1815,ralf,2,2
westfale1815,regsprecher,1,1
westfale1815,spiegel,1,1
wfreespeak,uwe,1,1
wimanders,detlevrinsche,1,1
wimanders,matthiasmeisner,1,1
wimanders,tilsteff,1,1
winklerroberto,afdimbundestag,1,1
winklerroberto,afdkompakt,1,1
winklerroberto,barbarasteibl1,1,1
winklerroberto,cdu,2,2
winklerroberto,eysvog3l,1,1
winklerroberto,jost2018,2,2
winklerroberto,karl,1,1
winklerroberto,klaustaler,1,1
winklerroberto,kokolores20,1,1
winklerroberto,lc180666,1,1
winklerroberto,ludhell123,1,1
winklerroberto,quatschkowsky,1,1
winklerroberto,reneromrig,1,1
winklerroberto,roberthabeck,1,1
winklerroberto,rolandtichy,1,1
winklerroberto,shakriet,1,1
winklerroberto,spiegelonline,1,1
winklerroberto,tagesschau,2,2
winklerroberto,welt,1,1
winklerroberto,weltnews,1,1
winklerroberto,zukunftskinder,1,1
wirtschaftde,folgedemhasen,1,1
wirtschaftde,regsprecher,1,1
wolf_stefi,ulrichsiegmund,1,1
wolfganghummel,cdu,1,1
wolfganghummel,cducsubt,1,1
wolfganghummel,steinekecdu,1,1
wolfis_welt,zeitonline,1,1
wolfwal,0192837i,1,1
wolfwal,businessnews201,1,1
wolfwal,elkesommerlich,1,1
wolfwal,jouwatch,1,1
wwidiwici,heikoretzler,1,1
wwidiwici,mitschalexander,1,1
xagathon,awicke7,1,1
xagathon,ralf,1,1
xdg90,lovebeatshb,1,1
xdg90,regsprecher,1,1
xedntrl,cdu,1,1
xedntrl,nili1966,1,1
xedntrl,wn,1,1
yodelford,bild,1,1
yodelford,drumheadberlin,1,1
yugsekwaf1988,bmi,1,1
yugsekwaf1988,watch,1,1
zagros_17,gold,1,1
zagros_17,strohpuppe27,1,1
zagros_17,trilmm,1,1
zarathustrie,al,1,1
zeugenaussage,t,1,1
zimtblume2,barbarasteibl1,1,1
zora_211212,maxotte,1,1
zubaden,croqisunshine,1,1
zukunftskinder,konstantinnotz,1,1
zukunftskinder,varg,1,1
